"","Borough","XCoord","YCoord"
"949","BK",998641,160185
"950","BK",1015332,181962
"951","BK",987734,159622
"952","BK",992846,185654
"953","BK",982993,163049
"954","BK",994659,167983
"955","BK",1016000,183818
"956","BK",1013696,180721
"957","BK",1007953,160488
"958","BK",1005882,183981
"959","BK",999855,199538
"960","BK",1008869,164837
"961","BK",1014889,181576
"962","BK",984333,158729
"963","BK",989493,182686
"964","BK",1009311,185932
"965","BK",1002671,158373
"966","BK",1005327,193555
"967","BK",989557,176869
"968","BK",1017255,186861
"969","BK",990188,183312
"970","BK",997028,165179
"971","BK",987409,153806
"972","BK",989055,182544
"973","BK",1001805,186720
"974","BK",1018578,189874
"975","BK",984836,161715
"976","BK",1007732,190248
"977","BK",1007091,196760
"978","BK",978386,165374
"979","BK",1010166,192472
"980","BK",1008333,180250
"981","BK",987494,180190
"982","BK",986067,193764
"983","BK",1007880,191753
"984","BK",991931,160542
"985","BK",1020583,187038
"986","BK",1003123,176526
"987","BK",989665,176328
"988","BK",1004744,177809
"989","BK",983306,176583
"990","BK",985001,160257
"991","BK",1003083,171653
"992","BK",980043,159347
"993","BK",986063,191232
"994","BK",1011827,174413
"995","BK",999403,166205
"996","BK",1008993,161053
"997","BK",992639,154862
"998","BK",996839,176714
"999","BK",983205,164587
"1000","BK",976241,168092
"1001","BK",998045,173694
"1002","BK",991917,183897
"1003","BK",1000655,160743
"1004","BK",987573,164801
"1005","BK",1015765,171818
"1006","BK",1000453,202736
"1007","BK",974710,163189
"1008","BK",994850,175887
"1009","BK",998960,191813
"1010","BK",988104,167883
"1011","BK",999102,177227
"1012","BK",990930,163293
"1013","BK",993432,184638
"1014","BK",1014837,181311
"1015","BK",983272,172708
"1016","BK",1009747,189298
"1017","BK",981820,159500
"1018","BK",1014600,180724
"1019","BK",1004051,180288
"1020","BK",988823,171500
"1021","BK",992999,173946
"1022","BK",1000279,169624
"1023","BK",999176,163490
"1024","BK",1000274,177120
"1025","BK",997046,148843
"1026","BK",1020447,187994
"1027","BK",981970,174609
"1028","BK",999620,188260
"1029","BK",995636,179247
"1030","BK",983050,178125
"1031","BK",1004198,195147
"1032","BK",1000104,197347
"1033","BK",988628,179962
"1034","BK",992070,186951
"1035","BK",999544,157014
"1036","BK",993283,164057
"1037","BK",984291,178112
"1038","BK",976812,166751
"1039","BK",1016240,184527
"1040","BK",995504,199224
"1041","BK",988965,185577
"1042","BK",989735,181222
"1043","BK",995240,164717
"1044","BK",1005699,165684
"1045","BK",991259,183290
"1046","BK",1001325,179974
"1047","BK",981173,164134
"1048","BK",987636,181400
"1049","BK",998191,189511
"1050","BK",1007888,182525
"1051","BK",1013888,170306
"1052","BK",984198,157479
"1053","BK",1000468,160500
"1054","BK",983522,187845
"1055","BK",1013062,173933
"1056","BK",1008009,194903
"1057","BK",980787,165258
"1058","BK",1004174,166901
"1059","BK",998736,162583
"1060","BK",996336,180366
"1061","BK",1009347,175081
"1062","BK",991412,166257
"1063","BK",984598,173650
"1064","BK",1005968,177436
"1065","BK",1002227,191490
"1066","BK",998543,187654
"1067","BK",975759,171322
"1068","BK",1010779,161304
"1069","BK",996901,179770
"1070","BK",990104,165190
"1071","BK",980046,166482
"1072","BK",1007407,184431
"1073","BK",988875,179234
"1074","BK",976444,165997
"1075","BK",1000694,165807
"1076","BK",986921,160264
"1077","BK",996465,156155
"1078","BK",974445,170998
"1079","BK",1018501,184571
"1080","BK",989964,171996
"1081","BK",1003067,190695
"1082","BK",995141,158742
"1083","BK",1018538,186395
"1084","BK",985126,191093
"1085","BK",988192,181996
"1086","BK",995021,188323
"1087","BK",986486,157256
"1088","BK",1004082,154121
"1089","BK",1003228,168651
"1090","BK",1003630,153398
"1091","BK",975418,166048
"1092","BK",1007206,181860
"1093","BK",976425,166057
"1094","BK",997973,188324
"1095","BK",1008140,186273
"1096","BK",1000160,167547
"1097","BK",1016606,185059
"1098","BK",988459,174488
"1099","BK",999410,166156
"1100","BK",1007020,180601
"1101","BK",1003663,180556
"1102","BK",988257,168296
"1103","BK",1017998,183662
"1104","BK",1009244,166602
"1105","BK",989464,179931
"1106","BK",1006867,189358
"1107","BK",986099,190838
"1108","BK",986979,189217
"1109","BK",999429,197089
